EG,45167207,0.45890629172811664
IT,35554357,0.5884363017561886
US,32308973,0.09889871176920234
SA,28800553,0.8546171600804001
FR,19845064,0.29629622551478674
TR,19458334,0.2363751122392004
CO,17957490,0.3616911505309758
MA,17456945,0.48452297137944295
IQ,16820683,0.4376556710794721
ZA,14323333,0.2478959277372912
MX,13330219,0.1056354367166643
MY,11609132,0.36820973729077916
GB,11519228,0.17332483262500115
DZ,11478355,0.27181581867513943
ES,10891211,0.2327353902660325
RU,9992686,0.06916404256563541
SD,9463196,0.22638394625383715
NG,8999789,0.0459466544792861
PE,8074926,0.2524261895931559
BR,8053833,0.03844874514399681
SY,6924151,0.4095608123914642
CL,6888349,0.367787396765258
AE,6792773,0.7053059825091146
TN,6229561,0.5386468755760815
IN,6161591,0.004555309822261866
DE,6053607,0.07301791086175388
NL,5429158,0.3150694328056369
OM,5047947,1.0452354837981623
YE,4600723,0.1614363145923179
LY,4195518,0.6282063203079343
IL,3955981,0.44535292925654074
BD,3793325,0.0235090364358783
KW,3641564,0.8801769459327307
CA,3492732,0.09425101594766981
PS,3366905,0.7368879165575092
KZ,3212979,0.1758375322822416
BE,3183089,0.27840616881140423
JO,3105730,0.3119452158098258
IR,3057395,0.03737634408023768
SG,3035848,0.5383973117093446
BO,2953155,0.2601178598840744
HK,2846829,0.3820734129647027
PL,2669302,0.07029149632321477
QA,2553622,0.9180152835861245
AR,2339235,0.05257357414630689
PT,2277224,0.22143751612970353
CM,1997552,0.07921689505059776
LB,1819898,0.2657202407677117
GT,1645019,0.09537554542441251
CH,1591872,0.18698808336721198
UY,1509289,0.43756398039137806
PA,1501701,0.3595275700266683
CR,1463873,0.2928073358601492
IE,1449528,0.29780891248120883
BH,1416047,0.9022631653731047
FI,1381426,0.25046137946976943
CZ,1375940,0.1294401994068069
AT,1249295,0.14131463518948714
SE,1092096,0.10732904487315942
GH,1027895,0.034531234945631935
PH,897494,0.008415169489397481
MU,848502,0.6705919451704453
TW,706072,0.030534340581285152
HR,659095,0.1612329534182208
DK,639795,0.11043065183936306
CN,625598,0.0004491882848793377
GR,617581,0.05754722027006653
AF,558327,0.015019939801550537
AO,508751,0.016512655956251787
AL,506582,0.17673257102348053
NO,475782,0.08956881095258283
BG,431916,0.06148238080454238
JP,426708,0.0033724099831580244
NA,409277,0.16717090335769763
MO,397980,0.6300780829465071
JM,385845,0.13146986818769582
HU,376970,0.038562480896242916
EC,317453,0.018581501194338188
BW,240584,0.1067305021990785
SI,229034,0.11043669541451974
LT,220142,0.0785788403033614
BN,213563,0.49785995029862784
LU,188070,0.3093510979521342
RS,162873,0.023325538724521682
PR,138180,0.04324675531969831
ID,130267,0.0004866820901405528
KR,119805,0.00232150390435276
CY,118986,0.10005003090143913
MT,115310,0.23793409405113178
AZ,99455,0.010005734521821364
GE,93976,0.02521796976237264
EE,87529,0.06621068293926445
MV,86313,0.1673718624926313
MD,46228,0.017083208766729648
IS,31343,0.08886060087151035
TM,16276,0.0027817904503027566
HN,15827,0.0016507915183923438
BI,15707,0.0014055005566702085
HT,15407,0.0013851259748115107
DJ,14319,0.014932423976974096
ET,12752,0.00011675029971968118
BF,6413,0.0003246836258549019
FJ,5362,0.00606916035735832
SV,4479,0.0006975827100410794
KH,2759,0.00016978672596422429
